                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                  1.013,                 1.4153,                 1.3847,                0.67788,                0.36111,                0.41989,                0.16498,                 1.8789,                 2.8713,                 2.4538,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0021,                 1.3162,                 1.3364,                0.40127,                0.52778,                0.45802,                0.17752,                 1.7071,                 3.6962,                 2.2405,              0.0010496,              0.0010496,              0.0010496
                     27,                0.93873,                 1.2984,                 1.3586,                0.39652,                0.44444,                0.38749,                0.18697,                 1.8116,                 3.7416,                 2.4391,                0.00101,                0.00101,                0.00101
                     28,                0.89489,                 1.2575,                 1.3131,                0.51509,                0.55556,                0.49951,                0.25259,                 1.6507,                 2.4141,                 2.2675,              0.0009704,              0.0009704,              0.0009704
                     29,                0.95649,                 1.2785,                 1.3009,                0.73638,                    0.5,                0.51295,                0.26083,                 1.6341,                 2.3551,                 2.2343,              0.0009308,              0.0009308,              0.0009308
                     30,                0.91929,                 1.1888,                 1.2428,                0.50607,                0.54093,                0.47486,                0.27067,                 1.5911,                 2.3555,                 2.1273,              0.0008912,              0.0008912,              0.0008912
                     31,                0.94246,                 1.2611,                 1.3056,                0.63772,                0.52778,                0.46555,                0.26393,                 1.4584,                 2.4017,                 1.9925,              0.0008516,              0.0008516,              0.0008516
                     32,                0.94108,                 1.2577,                 1.3211,                0.71005,                0.58333,                0.53433,                0.30959,                  1.311,                 2.3803,                 1.8696,               0.000812,               0.000812,               0.000812
                     33,                0.94338,                 1.2493,                  1.329,                0.67139,                0.58333,                0.56972,                0.33526,                 1.3346,                 2.2621,                 1.8608,              0.0007724,              0.0007724,              0.0007724
                     34,                0.94395,                 1.2434,                 1.3007,                0.69452,                0.58333,                0.55154,                0.31987,                 1.3819,                 2.1527,                 1.9503,              0.0007328,              0.0007328,              0.0007328
                     35,                0.88715,                 1.2146,                 1.2825,                0.78379,                    0.5,                0.56611,                0.35205,                 1.3813,                 2.1149,                 1.9391,              0.0006932,              0.0006932,              0.0006932
                     36,                0.90753,                 1.1948,                 1.2597,                0.73345,                0.52778,                  0.583,                0.39596,                 1.2775,                 1.9574,                 1.7428,              0.0006536,              0.0006536,              0.0006536
                     37,                0.86176,                 1.0963,                 1.2681,                0.77586,                0.58333,                0.58152,                0.37468,                 1.3316,                 1.9626,                 1.7831,               0.000614,               0.000614,               0.000614
                     38,                0.83072,                 1.1114,                 1.2235,                0.80283,                0.52778,                0.57761,                0.36926,                 1.3297,                 2.0287,                 1.7808,              0.0005744,              0.0005744,              0.0005744
                     39,                0.89671,                 1.1401,                 1.2925,                0.85372,                0.48671,                0.58425,                 0.3731,                 1.3233,                 2.0129,                 1.7527,              0.0005348,              0.0005348,              0.0005348
                     40,                0.81068,                 1.0035,                 1.1933,                0.80761,                0.47222,                0.57406,                0.34583,                 1.3129,                 2.0091,                 1.7237,              0.0004952,              0.0004952,              0.0004952
                     41,                0.74277,                 1.3219,                 1.2414,                0.77396,                0.47222,                 0.5666,                0.36035,                 1.2926,                 2.0333,                 1.6762,              0.0004556,              0.0004556,              0.0004556
                     42,                0.71888,                 1.1502,                 1.1871,                0.76643,                0.52778,                0.59119,                0.36022,                 1.2973,                  2.071,                 1.6767,               0.000416,               0.000416,               0.000416
                     43,                0.84779,                 1.2751,                 1.2967,                0.75099,                0.52778,                0.56084,                0.35441,                 1.3166,                 2.1335,                  1.692,              0.0003764,              0.0003764,              0.0003764
                     44,                0.83869,                 1.2482,                 1.2635,                0.82348,                0.58333,                0.59952,                0.38572,                 1.3245,                  2.174,                 1.6869,              0.0003368,              0.0003368,              0.0003368
                     45,                0.74694,                 1.2454,                  1.213,                0.87481,                0.58235,                  0.594,                0.40676,                 1.2518,                 2.1221,                 1.5939,              0.0002972,              0.0002972,              0.0002972
                     46,                0.71276,                 1.1786,                 1.1451,                 0.8772,                0.59558,                0.63669,                0.43757,                 1.2092,                 2.0645,                  1.544,              0.0002576,              0.0002576,              0.0002576
                     47,                0.69548,                 1.1218,                 1.1501,                0.84158,                0.59047,                0.64382,                0.45319,                 1.2181,                 1.9673,                 1.5584,               0.000218,               0.000218,               0.000218
                     48,                0.64323,                 1.0273,                 1.1298,                0.89486,                0.58333,                0.64594,                0.43957,                 1.2136,                 1.9068,                 1.5733,              0.0001784,              0.0001784,              0.0001784
                     49,                0.64645,                 1.0539,                 1.1609,                0.77224,                0.61111,                0.64668,                0.45272,                 1.2006,                 1.8702,                 1.5632,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.6568,                0.99264,                 1.1949,                 0.8731,                0.58333,                0.64994,                0.45631,                 1.1874,                 1.8336,                 1.5531,               9.92e-05,               9.92e-05,               9.92e-05
